iter	Passed	Remaining
0	137	41031
1	140	20870
2	142	14146
3	145	10787
4	148	8778
5	151	7434
6	154	6468
7	157	5741
8	160	5177
9	162	4726
10	164	4331
11	167	4025
12	170	3765
13	173	3540
14	176	3347
15	178	3175
16	181	3026
17	184	2892
18	187	2772
19	190	2662
20	192	2562
21	195	2473
22	198	2392
23	201	2317
24	204	2247
25	207	2182
26	209	2123
27	212	2067
28	215	2015
29	218	1966
30	221	1919
31	224	1876
32	226	1836
33	229	1797
34	232	1760
35	235	1726
36	238	1693
37	241	1661
38	244	1633
39	246	1605
40	249	1578
41	252	1553
42	255	1528
43	258	1504
44	261	1481
45	264	1458
46	266	1437
47	269	1416
48	272	1396
49	275	1377
50	278	1358
51	281	1340
52	283	1322
53	286	1305
54	289	1288
55	292	1272
56	295	1257
57	297	1242
58	300	1228
59	303	1213
60	306	1199
61	308	1186
62	311	1172
63	314	1160
64	317	1148
65	320	1137
66	323	1125
67	326	1113
68	329	1101
69	331	1090
70	334	1079
71	337	1068
72	340	1057
73	342	1047
74	345	1037
75	348	1027
76	351	1017
77	354	1008
78	357	999
79	360	990
80	362	980
81	365	972
82	368	963
83	371	954
84	374	946
85	377	938
86	379	930
87	382	921
88	385	913
89	388	905
90	390	897
91	393	889
92	396	881
93	399	874
94	401	867
95	404	859
96	407	852
97	410	845
98	413	838
99	416	832
100	418	825
101	421	818
102	424	812
103	427	805
104	430	798
105	433	792
106	435	786
107	438	779
108	441	773
109	444	767
110	447	761
111	450	755
112	452	749
113	455	743
114	458	737
115	461	732
116	464	726
117	467	720
118	470	715
119	473	709
120	475	703
121	478	698
122	481	693
123	484	687
124	487	682
125	488	673
126	490	668
127	493	663
128	496	657
129	498	652
130	501	647
131	504	642
132	507	637
133	510	632
134	513	627
135	515	622
136	518	617
137	521	612
138	524	607
139	527	602
140	529	597
141	532	592
142	535	587
143	538	583
144	541	578
145	543	573
146	546	568
147	549	564
148	552	559
149	555	555
150	558	551
151	561	546
152	564	542
153	567	537
154	569	533
155	572	528
156	575	524
157	578	519
158	580	515
159	583	510
160	586	506
161	589	501
162	592	497
163	595	493
164	598	489
165	600	484
166	603	480
167	606	476
168	609	472
169	612	468
170	614	463
171	617	459
172	620	455
173	623	451
174	626	447
175	628	443
176	630	438
177	633	434
178	636	430
179	639	426
180	641	421
181	644	417
182	647	413
183	650	409
184	652	405
185	655	401
186	658	397
187	661	393
188	663	389
189	666	385
190	669	382
191	672	378
192	674	374
193	677	370
194	680	366
195	683	362
196	686	358
197	688	354
198	691	350
199	694	347
200	697	343
201	700	339
202	703	335
203	705	332
204	708	328
205	711	324
206	714	320
207	716	317
208	719	313
209	722	309
210	724	305
211	727	302
212	730	298
213	734	295
214	737	291
215	740	288
216	744	284
217	747	281
218	750	277
219	752	273
220	755	270
221	758	266
222	761	262
223	763	259
224	766	255
225	769	251
226	772	248
227	775	244
228	778	241
229	781	237
230	784	234
231	786	230
232	789	227
233	792	223
234	795	220
235	798	216
236	801	212
237	803	209
238	806	205
239	809	202
240	812	198
241	815	195
242	818	191
243	821	188
244	824	185
245	827	181
246	829	178
247	832	174
248	835	171
249	838	167
250	841	164
251	843	160
252	846	157
253	849	153
254	852	150
255	854	146
256	857	143
257	860	140
258	863	136
259	866	133
260	869	129
261	872	126
262	875	123
263	878	119
264	880	116
265	883	112
266	886	109
267	889	106
268	892	102
269	895	99
270	897	96
271	900	92
272	903	89
273	906	86
274	908	82
275	911	79
276	914	75
277	917	72
278	920	69
279	923	65
280	926	62
281	929	59
282	932	56
283	935	52
284	937	49
285	940	46
286	943	42
287	946	39
288	949	36
289	952	32
290	954	29
291	957	26
292	960	22
293	963	19
294	966	16
295	969	13
296	972	9
297	975	6
298	978	3
299	980	0
